,Company.Name,Date,Group.1,Group.2,PR_AVG_Tone,PR_LM_Tone,PR_LIWC_Tone,PR_DIC_Tone,PR_H06_Tone,PR_H08_Tone,MA_AVG_Tone,MA_LM_Tone,MA_LIWC_Tone,MA_DIC_Tone,MA_H06_Tone,MA_H08_Tone
4685,KINGFISHER,22/03/2000,KINGFISHER,22/03/2000,0.742560414,0.266871166,0.838028169,0.81773399,0.896551724,0.893617022,0.592352092,0.111111111,0.714285714,0.636363636,0.75,0.75
8407,WEIR GROUP,22/03/2000,WEIR GROUP,22/03/2000,0.607604271,0.136363637,0.843537415,0.642857143,0.71,0.705263158,-0.111666667,0,0.375,-0.6,-0.166666667,-0.166666667
5534,NEXT,23/03/2000,NEXT,23/03/2000,0.689250794,0.135135135,0.909722222,0.774193549,0.811111111,0.816091954,0.342982557,0.155844156,0.55,0.339285715,0.321568628,0.348214286
7220,SOCO INTERNATIONAL,23/03/2000,SOCO INTERNATIONAL,23/03/2000,0.218595779,-0.168141593,0.479289941,-0.093023256,0.452631579,0.422222222,-0.133968254,-0.714285714,0.6,-0.333333333,-0.111111111,-0.111111111
7057,SIGNET GROUP DEAD - EX.INTO 54060C,28/03/2000,SIGNET GROUP DEAD - EX.INTO 54060C,28/03/2000,0.705953598,0.284313726,0.869109948,0.757575758,0.808641976,0.810126583,0.861111111,0.75,1,1,0.777777778,0.777777778
7524,TATE & LYLE,29/03/2000,TATE & LYLE,29/03/2000,0.336505106,0.538461538,0.473684211,0.176470588,0.255813953,0.238095238,-0.179638803,-0.36,0.058823529,-0.473684211,-0.04,-0.083333333
6902,SELFRIDGES DEAD - DELIST 17/09/03,30/03/2000,SELFRIDGES DEAD - DELIST 17/09/03,30/03/2000,0.743397791,0.307692308,0.910447761,0.857142857,0.819672131,0.822033899,0.705952381,0.571428571,0.714285714,0.625,0.80952381,0.80952381
4444,ITV,05/04/2000,ITV,05/04/2000,0.890452622,0.878787879,0.894736842,0.8,0.940594059,0.93814433,0.811570458,0.5,0.822368421,1,0.867741936,0.867741936
1421,BRITISH AIRWAYS DEAD - EX.INTO 74190D,06/04/2000,BRITISH AIRWAYS DEAD - EX.INTO 74190D,06/04/2000,0.487532468,0.428571429,0.909090909,0.6,0.25,0.25,0.124444444,-0.6,0,1,0.111111111,0.111111111
370,ARM HOLDINGS,10/04/2000,ARM HOLDINGS,10/04/2000,0.450665571,0.05,0.540983607,0.294117647,0.689655172,0.678571429,0.541400004,0.346153846,0.729483283,0.33941094,0.64972973,0.642222222
2670,DEBENHAMS,11/04/2000,DEBENHAMS,11/04/2000,0.630126142,0.046875,0.838709678,0.658227848,0.806818182,0.8,0.522217568,0.266666667,0.50877193,0.68972332,0.574074074,0.571851852
7665,TESCO,11/04/2000,TESCO,11/04/2000,0.717759144,0.2125,0.845637584,0.705128205,0.913580247,0.911949686,0.67036151,0,0.818181818,0.75,0.894736842,0.888888889
6755,SAINSBURY (J),13/04/2000,SAINSBURY (J),13/04/2000,0.76259535,0.777777778,0.692307692,0.935483871,0.703703704,0.703703704,0.189385965,0.125,0.416666667,0.3,0.052631579,0.052631579
7393,ST.IVES,18/04/2000,ST.IVES,18/04/2000,0.552689076,-0.029411765,0.85,0.4,0.771428572,0.771428572,0.714285714,0.142857143,1,1,0.714285714,0.714285714
3157,EUROTUNNEL SA UNITS DEAD - 30/07/07,19/04/2000,EUROTUNNEL SA UNITS DEAD - 30/07/07,19/04/2000,0.612987013,0.636363636,1,0.571428571,0.428571429,0.428571429,0.581818182,0,1,1,0.454545455,0.454545455
5812,PERSIMMON,19/04/2000,PERSIMMON,19/04/2000,1,1,1,1,1,1,0.733333333,0,1,0.666666667,1,1
6359,RIO TINTO,20/04/2000,RIO TINTO,20/04/2000,0.536825557,-0.430769231,0.848484849,0.696428572,0.790322581,0.779661017,0.479095816,0.2,0.473684211,0.538461538,0.6,0.583333333
2589,DANA PETROLEUM DEAD - 28/10/10,27/04/2000,DANA PETROLEUM DEAD - 28/10/10,27/04/2000,0.457061485,0.23364486,0.594936709,0.282442748,0.591549296,0.582733813,0.7,0,1,1,0.75,0.75
4179,IMPERIAL CHM.INDS. DEAD - 03/01/08,28/04/2000,IMPERIAL CHM.INDS. DEAD - 03/01/08,28/04/2000,0.623965984,0.268131868,0.812396753,0.323193473,0.858908613,0.857199211,0.802339181,0.555555556,0.789473684,0.666666667,1,1
4590,JOHNSTON PRESS,28/04/2000,JOHNSTON PRESS,28/04/2000,1,1,1,1,1,1,0.65,0.5,0.875,-0.125,1,1
6360,RIO TINTO,28/04/2000,RIO TINTO,28/04/2000,0.329246667,0.3,0.478973408,0.590909091,0.133989726,0.142361111,0.354730825,-0.25,0.877622378,0.233333334,0.468253968,0.444444445
5535,NEXT,02/05/2000,NEXT,02/05/2000,0.4,0,1,1,0,0,0.581818182,0,0.818181818,0.454545455,0.818181818,0.818181818
517,ASTRAZENECA,03/05/2000,ASTRAZENECA,03/05/2000,0.305777156,-0.058371736,0.595681311,0.2,0.397959184,0.393617022,0.428315789,-0.368421053,0.666666667,0.333333333,0.76,0.75
3261,FILTRONIC,03/05/2000,FILTRONIC,03/05/2000,0.408056634,0.037037037,0.473684211,0.391304348,0.575757576,0.5625,0.398018648,-0.272727273,0.846153846,0.666666667,0.375,0.375
8053,UNILEVER (UK),03/05/2000,UNILEVER (UK),03/05/2000,0.2,0,1,0,0,0,-0.132015701,-0.642857143,-0.1875,-0.058823529,0.052631579,0.176470588
160,ALLIED DOMECQ DEAD - EX.INTO 923539,04/05/2000,ALLIED DOMECQ DEAD - EX.INTO 923539,04/05/2000,0.62646367,0.00877193,0.865306123,0.595959596,0.833333334,0.828947369,0.601571917,0.24137931,0.724137931,0.7,0.675675676,0.666666667
1422,BRITISH AIRWAYS DEAD - EX.INTO 74190D,04/05/2000,BRITISH AIRWAYS DEAD - EX.INTO 74190D,04/05/2000,0.781034483,0.857142857,0.75,1,0.655172414,0.642857143,0.577777778,0.333333333,0.333333333,0.666666667,0.777777778,0.777777778
4821,LASTMINUTE.COM DEAD - DELIST 20/07/05,04/05/2000,LASTMINUTE.COM DEAD - DELIST 20/07/05,04/05/2000,0.326626324,0.013333333,0.5,0.01754386,0.565217391,0.537037037,0.719444445,1,0.875,0.666666667,0.555555556,0.5
6515,ROYAL DUTCH SHELL A(LON),04/05/2000,ROYAL DUTCH SHELL A(LON),04/05/2000,0.267119576,-0.044776119,0.282442748,0.565217391,0.273972603,0.258741259,0.525041698,0.332244009,0.422760943,0.703703704,0.583249917,0.583249917
6859,SCOTTISH POWER DEAD - EX.INTO 15299K,04/05/2000,SCOTTISH POWER DEAD - EX.INTO 15299K,04/05/2000,0.729600443,0.208609272,0.888349515,0.86,0.843881857,0.847161572,0.604964767,0.453947369,0.628019324,0.8,0.571428572,0.571428572
4205,IMPERIAL TOBACCO GP.,08/05/2000,IMPERIAL TOBACCO GP.,08/05/2000,0.443631812,0.156716418,0.822660099,-0.082508251,0.661870504,0.65942029,0.476722937,0.262515262,0.543859649,0.040740741,0.768249516,0.768249516
